,Country,City,Neighborhood,Latitude,Longitude
0,Brazil,Rio de Janeiro,Copacabana,-22.9719642,-43.1843432
1,Brazil,Porto Alegre,Aberta dos Morros,-30.1600217,-51.1974857
2,Brazil,Porto Alegre,Agronomia,-30.0692668,-51.1492173
3,Brazil,Porto Alegre,Anchieta,-29.9756518,-51.1749025
4,Brazil,Porto Alegre,Arquipélago,-29.9927605,-51.226618
5,Brazil,Porto Alegre,Auxiliadora,-30.0200106,-51.1905879
6,Brazil,Porto Alegre,Azenha,-30.0507214,-51.2156071
7,Brazil,Porto Alegre,Bela Vista,-30.0353173,-51.1903512
8,Brazil,Porto Alegre,Belém Novo,-30.2108984,-51.1795653
9,Brazil,Porto Alegre,Belém Velho,-30.1155228,-51.1793764
10,Brazil,Porto Alegre,Boa Vista,-30.0247805,-51.1745238
11,Brazil,Porto Alegre,Boa Vista do Sul,-30.2112207,-51.1326034
12,Brazil,Porto Alegre,Bom Jesus,-30.0427211,-51.1626625
13,Brazil,Porto Alegre,Bom Fim,-30.0333968,-51.2117199
14,Brazil,Porto Alegre,Camaquã,-30.1091543,-51.2382261
15,Brazil,Porto Alegre,Campo Novo,-30.1345907,-51.1988176
16,Brazil,Porto Alegre,Cascata,-30.0878685,-51.1827184
17,Brazil,Porto Alegre,Cavalhada,-30.1043906,-51.226694
18,Brazil,Porto Alegre,Centro,-30.0325029,-51.2303294
19,Brazil,Porto Alegre,Chácara das Pedras,-30.0341341,-51.1624528
20,Brazil,Porto Alegre,Chapéu do Sol,-30.1802576,-51.1697496
21,Brazil,Porto Alegre,Cidade Baixa,-30.0402405,-51.2218676
22,Brazil,Porto Alegre,Coronel Aparício Borges,-30.0690735,-51.1830696
23,Brazil,Porto Alegre,Cristal,-30.089507,-51.2394761
24,Brazil,Porto Alegre,Cristo Redentor,-30.0147017,-51.1563013
25,Brazil,Porto Alegre,Espírito Santo,-30.1501099,-51.2211468
26,Brazil,Porto Alegre,Farrapos,-29.9838739,-51.1955535
27,Brazil,Porto Alegre,Farroupilha,-30.0382929,-51.2128457
28,Brazil,Porto Alegre,Floresta,-30.0150916,-51.2096662
29,Brazil,Porto Alegre,Glória,-30.0763219,-51.1968056
30,Brazil,Porto Alegre,Guarujá,-30.1564771,-51.2230755
31,Brazil,Porto Alegre,Higienópolis,-30.013821,-51.1822698
32,Brazil,Porto Alegre,Hípica,-30.1595538,-51.1771961
33,Brazil,Porto Alegre,Humaitá,-29.9794491,-51.1868816
34,Brazil,Porto Alegre,Independência,-30.0278102,-51.2119489
35,Brazil,Porto Alegre,Ipanema,-30.1390847,-51.2243699
36,Brazil,Porto Alegre,Jardim Botânico,-30.0529737,-51.185073
37,Brazil,Porto Alegre,Jardim Carvalho,-30.0540061,-51.1503602
38,Brazil,Porto Alegre,Jardim Dona Leopoldina,-30.0185729,-51.1136484
39,Brazil,Porto Alegre,Jardim Floresta,-30.0015751,-51.1581307
40,Brazil,Porto Alegre,Jardim Isabel,-30.1253261,-51.2347633
41,Brazil,Porto Alegre,Jardim Itu-Sabará,-30.0331026,-51.1451097
42,Brazil,Porto Alegre,Jardim Lindóia,-30.0036186,-51.1503963
43,Brazil,Porto Alegre,Jardim do Salso,-30.0491206,-51.1693673
44,Brazil,Porto Alegre,Jardim São Pedro,-30.0039609,-51.1651561
45,Brazil,Porto Alegre,Lageado,-30.1886644,-51.1340341
46,Brazil,Porto Alegre,Lami,-30.2388239,-51.0839564
47,Brazil,Porto Alegre,Lomba do Pinheiro,-30.1187746,-51.1041163
48,Brazil,Porto Alegre,Marcílio Dias,-30.016293949999998,-51.21541835858207
49,Brazil,Porto Alegre,Mário Quintana,-30.0357417,-51.1141942
50,Brazil,Porto Alegre,Medianeira,-30.0653971,-51.2086757
51,Brazil,Porto Alegre,Menino Deus,-30.0556966,-51.2239504
52,Brazil,Porto Alegre,Moinhos de Vento,-30.0240687,-51.2054232
53,Brazil,Porto Alegre,Mont'Serrat,-30.0286874,-51.1905912
54,Brazil,Porto Alegre,Navegantes,-29.9936324,-51.2007684
55,Brazil,Porto Alegre,Nonoai,-30.0889866,-51.2146008
56,Brazil,Porto Alegre,Partenon,-30.0571593,-51.1919188
57,Brazil,Porto Alegre,Passo D'Areia,-30.0149148,-51.1672357
58,Brazil,Porto Alegre,Passo das Pedras,-30.0177395,-51.1251194
59,Brazil,Porto Alegre,Pedra Redonda,-30.1282027,-51.2433838
60,Brazil,Porto Alegre,Petrópolis,-30.0394053,-51.1830208
61,Brazil,Porto Alegre,Ponta Grossa,-30.1772631,-51.1818641
62,Brazil,Porto Alegre,Praia de Belas,-30.0447388,-51.2301804
63,Brazil,Porto Alegre,Restinga,-30.1521786,-51.1431394
64,Brazil,Porto Alegre,Rio Branco,-30.0348295,-51.2006963
65,Brazil,Porto Alegre,Rubem Berta,-30.0135604,-51.0963906
